X_scan,Y_scan,X_acc,Y_acc,Radius,Mean,StdDev,Prominence_min,Prominence_pseudo
2,1,374.2602,400.2574,3,16.7778,2.3469,3,11
2,1,191.0537,430.3806,3,22.0000,2.3469,3,16
2,1,349.1350,418.0153,3,23.3333,2.3469,3,14
2,1,137.1946,402.4367,3,16.6667,2.3469,3,11
2,1,443.4941,287.4106,3,25.2222,2.3469,3,19
2,1,219.2526,443.0955,3,18.0000,2.3469,3,13
2,1,324.0356,435.1909,3,13.1111,2.3469,3,8
2,1,399.2084,383.2348,3,13.6667,2.3469,3,9
2,1,61.1645,274.1977,3,18.7778,2.3469,3,12
2,1,338.1198,78.1484,3,8.2222,2.3469,3,5
2,1,365.1515,91.1919,3,5.7778,2.3469,3,4
2,1,58.2509,243.1909,3,9.7778,2.3469,3,7
2,1,446.2887,318.1138,3,20.7778,2.3469,3,14
2,1,424.2807,365.2565,3,12.0000,2.3469,3,7
2,1,299.1806,452.2609,3,13.4444,2.3469,3,8
2,1,246.1414,456.2730,3,12.5556,2.3469,3,10
2,1,425.2612,146.0746,3,8.3333,2.3469,3,4
2,1,66.1975,336.0335,3,8.6667,2.3469,3,5
2,1,166.3219,447.1157,3,18.4444,2.3469,3,11
2,1,377.0363,432.2096,3,15.4444,2.3469,3,9
2,1,448.4591,348.1032,3,23.0000,2.3469,3,16
2,1,193.4964,461.1577,3,39.3333,2.3469,3,28
2,1,352.0376,448.3237,3,15.7778,2.3469,3,11
2,1,273.3571,470.1696,3,16.0000,2.3469,3,11
2,1,402.3043,413.4730,3,21.1111,2.3469,3,16
2,1,221.2411,474.3732,3,12.2222,2.3469,3,8
2,1,427.2000,397.0455,3,11.4444,2.3469,3,8
2,1,327.2872,465.2137,3,7.7778,2.3469,3,6
2,1,451.4500,379.0276,3,12.4444,2.3469,3,8
2,1,249.1300,487.2982,3,15.8889,2.3469,3,9
2,1,302.1071,483.2479,3,10.8889,2.3469,3,6
2,1,40.2200,352.1000,3,9.3333,2.3469,3,5
2,1,404.3124,443.2581,3,13.4444,2.3469,3,9
2,1,102.2389,440.2028,3,3.7778,2.3469,3,5
2,1,380.0608,462.0684,3,10.3333,2.3469,3,8
2,1,429.2203,427.0396,3,21.5556,2.3469,3,13
2,1,354.1730,479.0319,3,23.8889,2.3469,3,15
2,1,276.3799,500.1808,3,15.3333,2.3469,3,10
2,1,329.1528,496.0142,3,13.6667,2.3469,3,8
3,1,255.7110,256.1277,3,197.7778,2.3469,3,192
3,1,229.4087,242.2534,3,185.3333,2.3469,3,140
3,1,284.1579,268.4194,3,199.2222,2.3469,3,159
3,1,281.5023,238.6206,3,186.1111,2.3469,3,125
3,1,231.4452,273.5095,3,135.5556,2.3469,3,103
3,1,254.4433,225.2948,3,83.3333,2.3469,3,67
3,1,259.4052,286.5190,3,155.7778,2.3469,3,114
3,1,308.3725,252.1553,3,198.7778,2.3469,3,155
3,1,279.3828,209.0888,3,208.5556,2.3469,3,161
3,1,227.3662,212.3205,3,69.5556,2.3469,3,56
3,1,287.0732,299.3240,3,181.1111,2.3469,3,135
3,1,203.4748,260.0321,3,211.4444,2.3469,3,171
3,1,233.4867,305.1831,3,205.6667,2.3469,3,166
3,1,262.2536,316.4129,3,91.2222,2.3469,3,72
3,1,202.4740,229.2188,3,79.2222,2.3469,3,64
3,1,206.3517,290.3878,3,99.5556,2.3469,3,80
3,1,252.1594,195.1983,3,28.1111,2.3469,3,21
3,1,307.0697,222.0300,3,174.4444,2.3469,3,125
3,1,311.4866,282.2870,3,86.6667,2.3469,3,72
3,1,177.2119,246.2485,3,85.8889,2.3469,3,62
3,1,179.1409,277.2692,3,89.1111,2.3469,3,62
3,1,304.1580,192.1652,3,81.0000,2.3469,3,57
3,1,336.3150,265.2442,3,68.0000,2.3469,3,54
3,1,314.2299,312.3398,3,74.7778,2.3469,3,56
3,1,277.0835,178.1017,3,13.5556,2.3469,3,11
